http://www.bloomberg.com/news/2010-12-23/ibm-predicts-holographic-calls-air-breathing-batteries-by-2015.html	4042	business	1	1	0	5424	170	9	0.079129575
http://www.popsci.com/technology/article/2012-07/electronic-futuristic-starting-gun-eliminates-advantages-races	8471	recreation	1	1	0	4973	187	9	0.125448029
http://www.menshealth.com/health/flu-fighting-fruits?cm_mmc=Facebook-_-MensHealth-_-Content-Health-_-FightFluWithFruit	1164	health	1	1	0	2240	258	11	0.057613169
http://www.dumblittleman.com/2007/12/10-foolproof-tips-for-better-sleep.html	6684	health	1	0	0	2737	120	5	0.100858369
http://bleacherreport.com/articles/1205138-the-50-coolest-jerseys-you-didnt-know-existed?show_full=	9006	sports	1	1	0	12032	162	10	0.082568807
http://www.conveniencemedical.com/genital-herpes-home.php	7018	?	?	0	?	4368	55	3	0.087356322
http://gofashionlane.blogspot.tw/2012/06/american-wild-child.html	8685	arts_entertainment	1	0	0	1287	93	3	0.064327485
http://www.insidershealth.com/article/racing_for_recovery/3471	3402	?	?	0	?	27656	132	4	0.148550725
http://www.valetmag.com/the-handbook/features/31-days/index.php?index1_middle_feature	477	?	1	0	0	2471	194	7	0.125
http://www.howsweeteats.com/2010/03/24/cookies-and-cream-brownies/	6731	?	?	1	?	11459	326	4	0.094412331
